name,category,freq_overall,users_count,f_n_per_user,f_n_by_user,importance,importance_b,crate,first_tag,last_tag
group,filters,66,4,0.010648032562175204,▁▁▆▁▁▁█▁▁▁▁▁▁▁▁,0.06319878235032371,▊           ,nu-command,0.60.0,0.84.0
view source,debug,156,3,0.014069870406080362,▇█▁▁▁▁▁▁▁▁▁▁▆▁▁,0.06291434881619967,▊           ,nu-command,0.76.0,0.84.0
while,core,63,3,0.014015891846230458,▁▁█▁▁▆▁▁▁▁▁▁▁▁▁,0.06279354850705415,▊           ,nu-cmd-lang,0.72.0,0.84.0
path exists,path,115,5,0.008304834541373915,█▅█▁▁▆▁▁▁▁▁▁▄▁▁,0.062401427423528416,▊           ,nu-command,0.18.1,0.84.0
overlay hide,core,109,3,0.013404604560305308,▄▄▁█▁▁▁▁▁▁▁▁▁▁▁,0.06140894843257152,▊           ,nu-cmd-lang,0.68.0,0.84.0
schema,database,60,4,0.009497057847949693,▁▁█▁▁▁▇▁▁▁▁▁▁▁▁,0.059685463005282956,▊           ,nu-command,0.65.0,0.84.0
from ssv,formats,81,2,0.017961719744798297,▃▁█▁▁▁▁▁▁▁▁▁▁▁▁,0.058040745976542775,▊           ,nu-command,0.60.0,0.84.0
random integer,random,17,2,0.017834959082375618,▁▁▁▁▁▁▁▁▁▁▁█▁▁▁,0.0578355788183204,▊           ,nu-command,0.20.0,0.84.0
seq date,generators,117,3,0.011554798643215214,▅▆█▁▁▁▁▁▁▁▁▁▁▁▁,0.05701456932551336,▋           ,nu-command,0.23.0,0.84.0
math abs,math,31,2,0.016943229263332044,▁▁▁█▁▁▁▁▁▁▁▁▁▁▁,0.05637117942378648,▋           ,nu-command,0.24.0,0.84.0
headers,filters,104,4,0.008068517981064116,██▇▁▁▁▁▁▁▁▁▁▅▁▁,0.055013707131807185,▋           ,nu-command,0.12.0,0.84.0
path relative-to,path,44,4,0.008019066164846128,▁▂▁▇▁█▁▁▁▁▁▁▁▁▁,0.05484485895658455,▋           ,nu-command,0.32.0,0.84.0
config env,env,100,3,0.010672714432125566,▆▆▁█▁▁▁▁▁▁▁▁▁▁▁,0.05479514769362141,▋           ,nu-command,0.63.0,0.84.0
dfr concat-str,expression,156,2,0.0158730263904407,██▁▁▁▁▁▁▁▁▁▁▁▁▁,0.05456182607549008,▋           ,nu-cmd-dataframe,0.76.0,0.84.0
detect columns,strings,52,3,0.010310844480081101,▁▁█▁▁▁▁▁▁▁▁▁▁▁▁,0.05385819264662196,▋           ,nu-command,0.40.0,0.84.0
dfr first,dataframe,152,2,0.015466025713762734,██▁▁▁▁▁▁▁▁▁▁▁▁▁,0.05385777301667152,▋           ,nu-cmd-dataframe,0.60.0,0.84.0
path type,path,40,4,0.007377488956701953,▁▁▁▁▁█▁▁▁▁▁▁▃▁▁,0.05260515560575608,▋           ,nu-command,0.18.1,0.84.0
hide,core,38,4,0.007341629503407018,▁▁▅█▁▁▁▁▁▁▁▁▁▁▁,0.05247715202645734,▋           ,nu-cmd-lang,0.60.0,0.84.0
str,strings,114,4,0.007266920485539377,█▇▁▁▂▁█▁▁▁▁▁▁▁▁,0.05220946340006795,▋           ,nu-cmd-extra,0.15.0,0.84.0
column,,44,1,0.028852459016393443,▁▁█▁▁▁▁▁▁▁▁▁▁▁▁,0.05201581963974954,▋           ,nu-parser,0.7.0,0.12.0
